date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCurrently,inIcuCurrently,negativeTestsViral,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveTestsViral,recovered,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease
23/04/2020,MI,3711,3636,109,180,3611,1148,115005,1027,41694,40145,989,45848,3237,160853,9699,160853,9699
22/04/2020,MI,3602,3531,131,174,3305,1350,106653,1065,40705,39267,1116,44501,3237,151154,8341,151154,8341
21/04/2020,MI,3471,3428,124,171,3357,1346,99667,1107,39589,38208,1095,43146,3237,142813,7609,142813,7609
20/04/2020,MI,3347,3300,111,169,3374,1346,93393,1102,38494,37170,937,41811,3237,135204,4527,135204,4527
19/04/2020,MI,3236,3178,129,160,3403,1344,89758,1115,37557,36293,528,40919,3237,130677,3286,130677,3286
18/04/2020,MI,3107,3076,123,152,3634,1423,87114,1203,37029,35789,709,40277,3237,127391,4884,127391,4884
17/04/2020,MI,2984,2955,143,148,3674,1428,83268,1167,36320,35118,865,39239,629,122507,6067,122507,6067
16/04/2020,MI,2841,2836,169,140,3809,1447,78274,1211,35455,34298,922,38166,617,116440,5674,116440,5674
15/04/2020,MI,2672,2701,140,135,3918,1468,73828,1212,34533,33448,920,36938,452,110766,4583,110766,4583
14/04/2020,MI,2532,2537,141,131,3910,1497,70675,1235,33613,32572,911,35508,452,106183,5000,106183,5000
13/04/2020,MI,2391,2401,142,122,3986,1570,67063,1365,32702,31715,1036,34120,447,101183,3590,101183,3590
12/04/2020,MI,2249,2269,168,113,3636,1582,64555,1441,31666,30727,686,33038,433,97593,3286,97593,3286
11/04/2020,MI,2081,2136,164,103,3636,1582,62241,1441,30980,30085,808,32066,595,94307,3755,94307,3755
10/04/2020,MI,1917,1978,161,95,3823,1663,59597,1394,30172,29327,1076,30955,56,90552,4580,90552,4580
09/04/2020,MI,1756,1822,156,88,3826,1628,56430,1434,29096,28303,1032,29542,56,85972,4786,85972,4786
